"country_full","total_arrivals","percentage"
"Slovakia",14033,0.0198829959437016
"Slovenia",5490,0.00777863947344987
"Solomon Islands",459,0.000650345267452366
"Somalia",7257,0.0102822562220083
"South Africa",45266,0.0641362284891041
"South Georgia & South Sandwich Islands",7,9.91811954720384e-06
"South Korea",1057434,1.49825097503971
"South Sudan",972,0.0013772017428403
"Spain",105701,0.149765022036999
"Sri Lanka",138706,0.196528955702065
"St. Helena",2,2.83374844205824e-06
"St. Kitts & Nevis",2330,0.00330131693499785
"St. Lucia",478,0.000677265877651919
"St. Pierre & Miquelon",1,1.41687422102912e-06
"St. Vincent & Grenadines",75,0.000106265566577184
"Sudan",30589,0.0433407655470597
"Suriname",616,0.000872794520153938
"Sweden",53494,0.0757942695797317
"Switzerland",60473,0.0856826347682939
"Syria",20529,0.0290870108835068
"São Tomé & Príncipe",48,6.80099626093977e-05
"Taiwan",639102,0.905527148408153
"Tajikistan",3545,0.00502281911354823
"Tanzania",5973,0.00846298972220693
"Thailand",5647418,8.00168097957583
"Timor-Leste",6745,0.00955681662084141
"Togo",262,0.000371221045909629
"Tokelau",2,2.83374844205824e-06
"Tonga",424,0.000600754669716347
"Trinidad & Tobago",1158,0.00164074034795172
"Tunisia",18392,0.0260591506731676
"Turkey",50414,0.071430296978962
"Turkmenistan",5375,0.00761569893803152
"Turks & Caicos Islands",3,4.25062266308736e-06
"Tuvalu",14,1.98362390944077e-05
"Uganda",4255,0.0060287998104789
"Ukraine",36714,0.0520191201508631
"United Arab Emirates",15461,0.0219062923313312
"United Kingdom",780219,1.10547218785712
"United States",607643,0.860953702288797
"Uruguay",2769,0.00392332471802963
"Uzbekistan",36853,0.0522160656675862
"Vanuatu",2970,0.00420811643645649
"Vatican City",34,4.81737235149901e-05
"Venezuela",2871,0.0040678458885746
"Vietnam",878361,1.24452705765736
"Yemen",43725,0.0619528253144983
"Zambia",2169,0.00307320018541216
"Zimbabwe",4687,0.00664088947396348
NA,14359,0.0203448969397571
